url,name,brand,sku,price,original_price,360_dərəcə_fırlanma,akkumulyatorun_tutumu,brend,daxili_yaddaş,displey,ekranın_diaqonalı,girişlər,kateqoriya,klaviaturanın_dili,model,operativ_yaddaş,prosessor,rəng,sensorlu_ekran,veb_kamera,videokart,videokartın_növü,wi_fi,zəmanət,ölçülər_e_d_h,əməliyyat_sistemi
https://kontakt.az/notbuk-apple-macbook-air-13-mgn63ru-a-space-gray,Notbuk Apple MacBook Air 13 M1 Space Gray MGN63RU/A,Apple,TM-DG-KOT-1114-NB-0142,1449.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-acer-nitro-5-anv15-51-nh-qnder-001,Notbuk Acer Nitro 5 ANV15-51 (NH.QNDER.001),Acer,TM-DG-KOT-1114-NB-2934,1499.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-huawei-matebook-d16-53013ydl-space-gray,Notbuk HUAWEI MateBook D16 (53013YDL) Space Gray,HUAWEI,TM-DG-KOT-1114-NB-2444,"1.149,99",1699.99,Yox,"42 Vt*s, 8 saatadək",Asus,SSD 512GB,"FullHD (1920 × 1080), 60 Hz","15.6""","2× USB 3.2 Gen 1 Type-A, USB 3.2 Gen 1 Type-C, USB 2.0, HDMI",İş və təhsil,"İngilis, Rus",VivoBook 15 X1504VA-BQ591,"DDR4 8GB, 3200 MHz","Intel Core i5 120U, 1.4 - 5 GHz",Cool Silver,Yox,720p,Intel Graphics,Daxili Intel,Wi-Fi 6 (802.11ax),12 ay,359.7 × 232.5 × 17.9 mm,FreeDos
https://kontakt.az/notbuk-asus-vivobook-15-x1504va-bq591-90nb13y2-m00x80,Notbuk Asus VivoBook 15 X1504VA-BQ591 (90NB13Y2-M00X80),Asus,TM-DG-KOT-1114-NB-3134,1149.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-ideapad-slim-3-15amn8-82xq00jprk,Notbuk Lenovo IdeaPad Slim 3 15AMN8 (82XQ00JPRK),Lenovo,TM-DG-KOT-1114-NB-3249,899.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-apple-macbook-air-13-m4-midnight-mw123ru-a,Notbuk Apple MacBook Air 13 M4 Midnight MW123RU/A,Apple,TM-DG-KOT-1114-NB-2891,2079.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-ideapad-slim-3-15iru8-82x700d6rk,Notbuk Lenovo IdeaPad Slim 3 15IRU8 (82X700D6RK),Lenovo,TM-DG-KOT-1114-NB-3036,819.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-apple-macbook-air-13-m4-sky-blue-mc6t4ru-a,Notbuk Apple MacBook Air 13 M4 Sky Blue MC6T4RU/A,Apple,TM-DG-KOT-1114-NB-2883,2079.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-legion-5-16irx9-83dg00nwrk,Notbuk Lenovo Legion 5 16IRX9 (83DG00NWRK),Lenovo,TM-DG-KOT-1114-NB-3141,"819,99",1349.99,Yox,"47 Vt*s, 8 saatadək",Lenovo,SSD 512GB,"FullHD (1920 × 1080), 60 Hz","15.6""","2× USB 3.2 Gen 1 Type-A, 1× USB 3.2 Gen 1 Type-C, HDMI",İş və təhsil,"İngilis, Rus",IdeaPad Slim 3 15IRU8,"LPDDR5 8GB, 4800 MHz","Intel Core i3 1315U, 0.9 - 4.5 GHz",Arctic Grey,Yox,720p,Intel UHD Graphics,Daxili Intel,Wi-Fi 6 (802.11ax),12 ay,359.3 × 235 × 17.9 mm,ƏS yoxdur
https://kontakt.az/notbuk-lenovo-loq-15arp9-83jc00lbrk,Notbuk Lenovo LOQ 15ARP9 (83JC00LBRK),Lenovo,TM-DG-KOT-1114-NB-3219,1799.99,,,,,,,,,,,,,,,,,,,,,,
