Location,Gen.,Con.,Imports,Exports,Net imports
World,27295.0,25343.0,779.0,760.0,19.0
China,8152.0,7806.0,5.0,22.0,-18.0
United States,4165.0,3979.0,53.0,14.0,39.0
India,1702.0,1443.0,7.0,9.0,-2.0
Russia,1110.0,996.0,4.0,22.0,-18.0
Japan,955.0,913.0,0.0,0.0,0.0
Brazil,663.0,577.0,23.0,0.04,23.0
Canada,626.0,555.0,10.0,48.0,-38.0
South Korea,587.0,568.0,0.0,0.0,0.0
Germany,557.0,512.0,51.0,70.0,-19.0
France,530.0,447.0,25.0,69.0,-45.0
Saudi Arabia,367.0,329.0,0.0,0.3,0.0
Iran,341.0,302.0,3.0,6.0,-4.0
Mexico,337.0,301.0,8.0,6.0,2.0
Turkey,317.0,284.0,2.0,4.0,-2.0
Indonesia,307.0,282.0,1.0,0.0,1.0
United Kingdom,289.0,287.0,29.0,4.0,25.0
Taiwan,287.0,278.0,0.0,0.0,0.0
Italy,274.0,300.0,47.0,4.0,43.0
Spain,259.0,234.0,17.0,17.0,0.9
Australia,247.0,237.0,0.0,0.0,0.0
Vietnam,244.0,229.0,3.0,2.0,2.0
South Africa,221.0,191.0,10.0,15.0,-4.0
Egypt,202.0,168.0,0.1,0.9,-1.0
Thailand,187.0,203.0,31.0,3.0,29.0
Poland,167.0,158.0,15.0,14.0,0.9
Sweden,165.0,131.0,8.0,34.0,-26.0
Malaysia,165.0,151.0,0.04,2.0,-2.0
Norway,158.0,131.0,8.0,26.0,-18.0
Pakistan,150.0,132.0,0.5,0.0,0.5
Ukraine,150.0,134.0,3.0,3.0,-1.0
Argentina,147.0,127.0,6.0,4.0,2.0
United Arab Emirates,136.0,129.0,0.2,0.2,0.0
Netherlands,117.0,113.0,21.0,21.0,0.3
Philippines,108.0,98.0,0.0,0.0,0.0
Kazakhstan,104.0,97.0,2.0,2.0,-1.0
Iraq,97.0,53.0,19.0,0.0,19.0
Belgium,95.0,83.0,15.0,23.0,-8.0
Venezuela,95.0,71.0,0.0,0.7,-1.0
Chile,85.0,81.0,0.0,0.0,0.0
Colombia,81.0,76.0,0.5,0.0,0.5
Bangladesh,81.0,78.0,7.0,0.0,7.0
Algeria,78.0,69.0,0.5,0.6,0.0
Czech Republic,77.0,62.0,15.0,26.0,-11.0
Israel,73.0,63.0,0.0,7.0,-7.0
