Location,Total (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Year
Location,Total (TWh)[1],Coal,Gas,Hydro,Nuclear,Wind,Solar,Oil*,Bio.,Geo.,Year
World,30853.0,10587.0,6796.0,4419.0,2765,2497.0,2131.0,857.0,712.0,89.0,2024
China,10073.0,5860.0,303.0,1354.0,445,992.0,834.0,76.0,208.0,0.0,2024
United States,4387.0,653.0,1865.0,236.0,782,453.0,303.0,30.0,47.0,18.0,2024
India,2058.0,1534.0,57.0,156.0,54,82.0,134.0,4.0,36.0,0.0,2024
Russia,1221.0,225.0,538.0,210.0,216,6.0,3.0,13.0,0.9,0.0,2024
Japan,1022.0,326.0,347.0,78.0,85,11.0,102.0,28.0,46.0,0.0,2024
Brazil,745.0,16.0,48.0,415.0,16,108.0,75.0,12.0,57.0,0.0,2024
Canada,633.0,25.0,93.0,364.0,89,39.0,8.0,5.0,10.0,0.0,2023
South Korea,618.0,205.0,169.0,4.0,180,3.0,29.0,8.0,19.0,0.0,2023
France,518.0,2.0,30.0,57.0,338,49.0,22.0,11.0,10.0,0.6,2023
Germany,497.0,125.0,78.0,20.0,7,137.0,61.0,22.0,46.0,0.2,2023
Saudi Arabia,423.0,0.0,265.0,0.0,0,1.0,4.0,152.0,0.0,0.0,2023
Iran,383.0,0.9,324.0,23.0,7,1.0,0.8,27.0,0.03,0.0,2023
Mexico,355.0,28.0,205.0,20.0,12,22.0,27.0,33.0,7.0,0.0,2023
Indonesia,351.0,217.0,62.0,25.0,0,0.5,0.7,7.0,22.0,17.0,2023
Turkey,320.0,118.0,66.0,64.0,0,34.0,18.0,0.9,8.0,10.0,2023
United Kingdom,286.0,3.0,98.0,5.0,41,82.0,14.0,8.0,34.0,0.0,2023
Taiwan,282.0,122.0,114.0,4.0,18,6.0,13.0,4.0,2.0,0.0,2023
Spain,279.0,4.0,64.0,25.0,57,64.0,49.0,10.0,6.0,0.01,2023
Vietnam,276.0,130.0,26.0,81.0,0,11.0,26.0,2.0,0.8,0.0,2023
Australia,273.0,126.0,47.0,15.0,0,32.0,45.0,6.0,3.0,0.0,2023
Italy,261.0,13.0,119.0,41.0,0,24.0,31.0,13.0,16.0,6.0,2023
South Africa,234.0,191.0,0.0,2.0,9,12.0,16.0,5.0,0.4,0.0,2023
Egypt,220.0,0.0,179.0,14.0,0,6.0,5.0,17.0,0.0,0.0,2023
Thailand,190.0,30.0,129.0,7.0,0,4.0,5.0,0.9,14.0,0.0,2023
Malaysia,188.0,81.0,69.0,32.0,0,0.0,3.0,1.0,1.0,0.0,2023
Pakistan,171.0,27.0,47.0,34.0,24,6.0,1.0,29.0,2.0,0.0,2023
Sweden,166.0,0.0,0.2,66.0,48,34.0,3.0,2.0,12.0,0.0,2023
United Arab Emirates,165.0,0.0,119.0,0.0,32,0.05,14.0,0.0,0.03,0.0,2023
Poland,164.0,99.0,16.0,2.0,0,23.0,11.0,4.0,8.0,0.0,2023
Norway,153.0,0.04,1.0,136.0,0,15.0,0.0,0.8,0.2,0.02,2023
Iraq,150.0,0.0,87.0,1.0,0,0.0,0.4,61.0,0.0,0.0,2023
Argentina,146.0,2.0,76.0,30.0,9,14.0,3.0,10.0,2.0,0.0,2023
Bangladesh,130.0,11.0,72.0,0.7,24,0.0,1.0,22.0,0.0,0.0,2024
Netherlands,120.0,9.0,46.0,0.07,4,29.0,20.0,4.0,8.0,0.0,2023
Kazakhstan,113.0,64.0,32.0,9.0,0,4.0,2.0,2.0,0.0,0.0,2023
Ukraine,113.0,24.0,7.0,11.0,62,2.0,5.0,0.5,0.8,0.0,2022
Philippines,112.0,66.0,18.0,10.0,0,1.0,2.0,3.0,1.0,10.0,2023 3
Algeria,96.0,0.0,95.0,0.02,0,0.02,0.9,0.4,0.0,0.0,2023
Colombia,90.0,11.0,16.0,56.0,0,0.06,1.0,3.0,2.0,0.0,2023
Chile,88.0,14.0,15.0,26.0,0,10.0,17.0,1.0,4.0,0.4,2023
Kuwait,86.0,0.0,44.0,0.0,0,2.0,0.2,40.0,0.0,0.0,2023
