Location,% of world,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Year
Location,% of world,Coal,Gas,Hydro,Nuclear,Wind,Solar,Oil*,Bio.,Geo.,Year
World,100.0,35,23,14,9,8,6,3,2,0,2023
China,32.0,61,3,13,5,9,6,1,2,0,2023
United States,14.0,16,42,6,18,10,6,1,1,0,2023
India,7.0,75,3,8,2,4,6,0,2,0,2023
Russia,4.0,18,45,17,18,0,0,1,0,0,2023
Japan,3.0,32,34,7,8,1,10,4,4,0,2023
Brazil,2.0,2,5,60,2,13,7,2,8,0,2023
Canada,2.0,4,15,58,14,6,1,1,2,0,2023
South Korea,2.0,33,27,1,29,1,5,1,3,0,2023
France,2.0,0,6,11,65,9,4,2,2,0,2023
Germany,2.0,25,16,4,1,28,12,4,9,0,2023
Saudi Arabia,1.0,0,63,0,0,0,1,36,0,0,2023
Iran,1.0,0,85,6,2,0,0,7,0,0,2023
Mexico,1.0,8,58,6,3,6,8,9,2,0,2023
Indonesia,1.0,62,18,7,0,0,0,2,6,5,2023
Turkey,1.0,37,21,20,0,11,6,0,3,3,2023
United Kingdom,1.0,1,34,2,14,29,5,3,12,0,2023
Taiwan,1.0,43,40,1,6,2,5,1,1,0,2023
Spain,0.9,1,23,9,20,23,17,4,2,0,2023
Vietnam,0.9,47,10,29,0,4,9,1,0,0,2023
Australia,0.9,46,17,6,0,12,16,2,1,0,2023
Italy,0.9,5,46,16,0,9,12,5,6,2,2023
South Africa,0.8,82,0,1,4,5,7,2,0,0,2023
Egypt,0.7,0,81,6,0,3,2,8,0,0,2023
Thailand,0.6,16,68,3,0,2,3,0,7,0,2023
Malaysia,0.6,43,37,17,0,0,2,1,1,0,2023
Pakistan,0.6,16,28,20,14,4,1,17,1,0,2023
Sweden,0.6,0,0,40,29,21,2,1,7,0,2023
United Arab Emirates,0.6,0,72,0,20,0,8,0,0,0,2023
Poland,0.6,60,10,1,0,14,7,3,5,0,2023
Norway,0.5,0,1,89,0,10,0,1,0,0,2023
Iraq,0.5,0,58,1,0,0,0,41,0,0,2023
Argentina,0.5,1,52,20,6,10,2,7,2,0,2023
Bangladesh,0.5,10,72,1,0,24,1,21,0,0,2023
Netherlands,0.4,7,38,0,3,24,16,4,6,0,2023
Kazakhstan,0.4,57,29,8,0,3,2,2,0,0,2023
Ukraine,0.4,22,6,10,55,1,5,0,1,0,2022
Philippines,0.4,60,16,9,0,1,2,2,1,9,2023
Algeria,0.3,0,99,0,0,0,1,0,0,0,2023
Colombia,0.3,13,18,62,0,0,1,4,3,0,2023
Chile,0.3,16,18,30,0,11,19,1,4,0,2023
Kuwait,0.3,0,51,0,0,2,0,47,0,0,2023
Venezuela,0.3,0,15,78,0,0,0,7,0,0,2023
Belgium,0.3,0,22,0,40,19,10,4,5,0,2023
Finland,0.3,2,1,19,42,18,1,3,14,0,2023
Uzbekistan,0.3,7,81,9,0,0,1,2,0,0,2023
Czech Republic,0.3,39,5,3,40,1,4,1,7,0,2023
Israel,0.3,18,71,0,0,1,9,0,0,0,2023
Austria,0.2,0,11,58,0,11,9,5,6,0,2023
Switzerland,0.2,0,0,55,34,0,6,2,0,0,2023
Peru,0.2,0,43,50,0,3,1,1,1,0,2023
Singapore,0.2,1,93,0,0,0,2,2,3,0,2023
Romania,0.2,14,16,32,20,13,4,0,1,0,2023
Qatar,0.2,0,100,0,0,0,0,0,0,0,2023
Laos,0.2,23,0,76,0,0,0,0,0,0,2023
Greece,0.2,9,33,8,0,22,18,8,1,0,2023
Portugal,0.2,0,23,26,0,29,11,3,8,0,2023
Oman,0.2,0,93,0,0,0,4,3,0,0,2023
Paraguay,0.1,0,0,99,0,0,0,0,1,0,2023
New Zealand,0.1,3,8,60,0,8,1,2,2,18,2023
Belarus,0.1,0,67,1,27,0,1,2,1,0,2023
Nigeria,0.1,0,77,23,0,0,0,0,0,0,2023
Morocco,0.1,64,10,1,0,15,5,4,0,0,2023
Bulgaria,0.1,29,5,8,40,4,9,0,5,0,2023
Serbia,0.1,61,3,32,0,2,0,0,1,0,2023
Hong Kong,0.1,35,63,0,0,0,1,1,0,0,2023
Bahrain,0.1,0,100,0,0,0,0,0,0,0,2023
Hungary,0.1,7,20,1,45,2,20,1,4,0,2023
Libya,0.1,0,76,0,0,0,0,24,0,0,2023
Ecuador,0.1,0,3,75,0,0,0,20,1,0,2023
Turkmenistan,0.1,0,100,0,0,0,0,0,0,0,2023
Denmark,0.1,8,3,0,0,58,10,3,19,0,2023
Ireland,0.1,4,49,3,0,37,2,2,3,0,2023
Slovakia,0.1,4,8,16,62,0,2,3,5,0,2023
Azerbaijan,0.1,0,93,6,0,0,0,0,0,0,2023
North Korea,0.09,35,0,63,0,0,1,2,0,0,2023
Myanmar,0.09,8,53,37,0,0,0,0,1,0,2023
Dominican Republic,0.08,31,30,6,0,5,6,22,1,0,2023
Ghana,0.08,0,60,38,0,0,1,2,0,0,2023
Jordan,0.08,0,73,0,0,8,15,4,0,0,2023
Tajikistan,0.07,6,1,93,0,0,0,0,0,0,2023
Tunisia,0.07,0,95,0,0,2,2,1,0,0,2023
Iceland,0.07,0,0,70,0,0,0,0,0,30,2023
Syria,0.07,0,38,4,0,0,0,57,0,0,2023
Puerto Rico,0.07,16,27,0,0,1,4,51,0,0,2023
Mozambique,0.07,0,16,83,0,0,0,1,1,0,2023
Zambia,0.07,11,0,88,0,0,1,0,0,0,2023
Ethiopia,0.06,0,0,96,0,3,0,0,0,0,2023
Angola,0.06,0,9,74,0,0,2,14,0,0,2023
Croatia,0.06,8,22,47,0,14,2,0,6,0,2023
Bosnia and Herzegovina,0.06,59,0,37,0,2,1,1,0,0,2023
Sudan,0.06,0,0,69,0,0,1,30,1,0,2023
DR Congo,0.05,0,0,86,0,0,14,0,0,0,2023
Slovenia,0.05,20,3,32,36,0,6,0,2,0,2023
Cuba,0.05,0,13,1,0,0,1,82,2,0,2023
Georgia,0.05,0,24,75,0,1,0,0,0,0,2023
Cambodia,0.05,55,0,39,0,0,6,0,0,0,2023
Kyrgyzstan,0.05,13,1,86,0,0,0,0,0,0,2023
Guatemala,0.05,18,0,42,0,3,2,8,26,3,2023
Uruguay,0.04,0,0,27,0,37,4,8,24,0,2023
Panama,0.04,4,22,48,0,7,7,13,0,0,2023
Kenya,0.04,0,0,21,0,16,5,10,2,47,2023
Bolivia,0.04,0,63,25,0,4,3,2,4,0,2023
Costa Rica,0.04,0,0,73,0,13,1,0,1,13,2023
Honduras,0.04,0,0,33,0,6,9,38,11,3,2023
Bhutan,0.04,0,0,100,0,0,0,0,0,0,2023
Ivory Coast,0.04,0,69,30,0,0,0,0,1,0,2023
Tanzania,0.04,0,74,25,0,0,0,1,1,0,2023
Nepal,0.04,0,0,99,0,0,1,0,0,0,2023
Trinidad and Tobago,0.03,0,99,0,0,0,0,0,0,0,2023
Albania,0.03,0,0,97,0,0,3,0,0,0,2023
Armenia,0.03,0,43,19,29,0,9,0,0,0,2023
Cameroon,0.03,0,24,63,0,0,0,13,0,0,2023
Zimbabwe,0.03,32,0,66,0,0,0,0,1,0,2023
Senegal,0.03,6,0,4,0,9,7,72,1,0,2023
Mongolia,0.03,86,0,1,0,6,2,4,0,0,2023
North Macedonia,0.02,35,21,23,0,2,6,10,2,0,2023
El Salvador,0.02,0,0,31,0,2,19,9,14,24,2023
Latvia,0.02,0,22,60,0,4,4,0,10,0,2023
Kosovo,0.02,88,0,8,0,3,0,0,0,0,2023
Estonia,0.02,0,0,1,0,13,12,50,24,0,2023
Uganda,0.02,0,0,87,0,0,3,3,8,0,2023
Brunei,0.02,22,77,0,0,0,0,1,0,0,2023
Cyprus,0.02,0,0,0,0,4,16,80,1,0,2023
Lithuania,0.02,0,11,9,0,48,13,5,14,0,2023
Congo,0.02,0,74,20,0,0,0,6,0,0,2023
Moldova,0.02,0,82,6,0,4,2,6,0,0,2023
Papua New Guinea,0.02,0,19,21,0,0,0,57,0,2,2023
Lebanon,0.02,0,0,15,0,0,31,53,1,0,2023
Jamaica,0.02,0,53,3,0,6,3,34,1,0,2023
Nicaragua,0.01,0,0,15,0,13,1,35,20,16,2023
Mali,0.01,0,0,38,0,0,3,57,2,0,2023
Montenegro,0.01,40,0,52,0,8,0,0,0,0,2023
Guinea,0.01,0,0,74,0,0,1,25,0,0,2023
Réunion,0.01,28,0,19,0,0,8,38,7,0,2022
Mauritius,0.01,34,0,3,0,0,5,49,10,0,2023
Gabon,0.01,0,35,48,0,0,0,17,0,0,2023
New Caledonia,0.01,37,0,17,0,1,7,37,0,0,2023
Yemen,0.01,0,18,0,0,0,17,65,0,0,2023
Madagascar,0.009,19,0,31,0,0,3,45,1,0,2023
Botswana,0.009,96,0,0,0,0,0,4,0,0,2023
Malta,0.008,0,86,0,0,0,13,1,0,0,2023
Suriname,0.007,0,1,42,0,0,0,56,0,0,2023
Bahamas,0.007,0,0,0,0,0,1,99,0,0,2023
Namibia,0.006,2,0,70,0,1,27,1,0,0,2023
Malawi,0.006,0,0,92,0,0,1,4,3,0,2023
Guam,0.006,0,0,0,0,0,8,92,0,0,2023
Burkina Faso,0.006,0,0,7,0,0,5,83,5,0,2023
Guadeloupe,0.006,13,0,1,0,7,7,52,15,6,2022
Mauritania,0.006,0,0,13,0,6,9,73,0,0,2023
Equatorial Guinea,0.005,0,68,31,0,0,0,1,0,0,2023
Martinique,0.005,0,0,0,0,3,6,74,17,1,2022
Luxembourg,0.005,0,6,6,0,35,21,4,27,0,2023
Guyana,0.005,0,1,0,0,0,1,93,5,0,2023
Fiji,0.004,0,0,52,0,0,1,37,10,0,2023
Barbados,0.004,0,3,0,0,0,8,89,0,0,2023
Rwanda,0.004,5,21,53,0,0,4,18,0,0,2023
Palestine,0.003,0,0,0,0,0,33,67,0,0,2023
Haiti,0.003,0,0,19,0,0,0,81,0,0,2023
Aruba,0.003,0,0,0,0,14,3,83,0,0,2023
Benin,0.003,0,73,0,0,0,3,24,0,0,2023
