Country/Territory,2003[3],2003[3],2003[3],2013[1],2013[1],2013[1],2022[4],2021/22[5]
Country/Territory,kgoe/a,GJ/a,W,kgoe/a,GJ/a,W,kgoe/a,kWh
Afghanistan[6],90.0,3.78,119.8,,,,,677.0
Albania,648.3,27.23,863.2,800.6,33.62,1065.9,780.7,14100.0
Algeria,1138.2,47.81,1515.5,1246.0,52.33,1658.9,1500.3,15252.0
Angola,716.5,30.09,953.9,654.9,27.51,871.9,423.1,2791.0
Antigua and Barbuda,,,,,,,,29464.0
Argentina,1846.8,77.57,2458.9,1894.6,79.57,2522.5,1809.0,21994.0
Armenia,790.8,33.22,1052.9,969.3,40.71,1290.5,1347.6,17685.0
Australia,5593.2,234.92,7446.8,5586.3,234.63,7437.7,4889.6,63459.0
Austria,4033.6,169.41,5370.3,3917.8,164.55,5216.2,3465.3,42685.0
Azerbaijan,1307.5,54.91,1740.8,1474.0,61.91,1962.5,1720.3,18748.0
Bahamas,,,,,,,,35448.0
Bahrain,7753.7,325.65,10323.2,10171.7,427.21,13542.6,10701.8,161111.0
Bangladesh,208.8,8.77,278.1,215.5,9.05,286.9,297.1,2912.0
Barbados,,,,,,,,23026.0
Belarus,2922.0,122.73,3890.4,2881.5,121.02,3836.4,2862.5,31133.0
Belgium,5585.6,234.59,7436.6,5039.0,211.64,6708.9,4333.0,58396.0
Belize,,,,,,,,7438.0
Benin,412.8,17.34,549.6,393.4,16.52,523.8,375.8,2485.0
Bhutan,,,,,,,,27785.0
Bolivia,737.4,30.97,981.7,785.5,32.99,1045.8,798.3,7062.0
Bosnia and Herzegovina,1703.4,71.54,2267.9,1688.0,70.89,2247.4,2270.7,23013.0
Botswana,1127.8,47.37,1501.6,1098.4,46.13,1462.4,1165.1,9385.0
Brazil,1362.5,57.23,1814.1,1437.8,60.39,1914.3,1429.0,17300.0
Brunei Darussalam,8308.4,348.95,11061.9,7392.9,310.5,9842.9,9537.1,103268.0
Bulgaria,2370.1,99.55,3155.6,2327.4,97.75,3098.7,2968.1,34176.0
Burkina Faso,,,,,,,312.9,905.0
Burundi,,,,,,,,294.0
Cambodia,355.4,14.93,473.1,396.2,16.64,527.5,501.6,4035.0
Cameroon,362.7,15.23,482.9,330.7,13.89,440.3,384.1,1594.0
Canada,7379.6,309.94,9825.2,7202.2,302.49,9589.0,7632.3,102160.0
Cape Verde,,,,,,,,7249.0
Central African Republic,,,,,,,,286.0
Chad,,,,,,,198.5,
Chile,1806.7,75.88,2405.5,2201.2,92.45,2930.6,2117.8,25343.0
China,1806.8,75.88,2405.5,2226.3,93.5,2964.1,2690.6,31051.0
Colombia,696.3,29.24,927.1,668.5,28.08,890.0,775.5,11747.0
Comoros,,,,,,,,1634.0
"Congo, Dem. Rep.",360.2,15.13,479.5,292.3,12.28,389.1,390.9,411.0
"Congo, Rep.",363.5,15.27,483.9,555.8,23.34,740.0,627.6,2348.0
Costa Rica,997.8,41.91,1328.5,1029.0,43.22,1370.0,1009.4,11958.0
Cote d'Ivoire,484.9,20.37,645.6,605.3,25.42,805.9,471.8,2371.0
Croatia,1931.9,81.14,2572.2,1813.9,76.19,2415.1,2155.0,23468.0
Cuba,975.3,40.96,1298.5,1030.9,43.3,1372.5,815.6,9230.0
Cyprus,2215.2,93.04,2949.3,1691.1,71.03,2251.5,1682.7,25360.0
Czech Republic,4192.8,176.1,5582.3,3989.9,167.58,5312.2,3897.1,44242.0
Denmark,3470.4,145.76,4620.5,3107.1,130.5,4136.9,2628.9,32198.0
Djibouti,,,,,,,,2785.0
Dominica,,,,,,,,10548.0
Dominican Republic,840.0,35.28,1118.4,731.3,30.72,973.7,950.5,9988.0
Ecuador,836.3,35.12,1113.5,979.8,41.15,1304.4,904.7,12150.0
Egypt,903.1,37.93,1202.4,885.0,37.17,1178.3,900.4,9960.0
El Salvador,676.9,28.43,901.2,693.4,29.12,923.3,768.7,7076.0
Equatorial Guinea,,,,,,,1283.9,12399.0
Eritrea,141.7,5.95,188.7,,,,289.5,914.0
Estonia,4154.5,174.49,5531.3,4623.3,194.18,6155.4,3558.5,46505.0
Eswatini,,,,,,,958.9,5981.0
Ethiopia,400.3,16.81,532.9,507.0,21.29,675.0,377.9,872.0
Fiji,,,,,,,,9223.0
Finland,6787.2,285.06,9036.5,6074.7,255.14,8087.9,5681.9,58966.0
France,4030.5,169.28,5366.2,3839.9,161.27,5112.4,3102.4,36052.0
Gabon,1417.6,59.54,1887.4,1434.9,60.27,1910.4,2096.2,8010.0
Gambia,,,,,,,,931.0
Georgia,700.3,29.41,3142.8,1032.1,43.35,1374.2,1543.6,20835.0
Germany,4003.3,168.14,5329.9,3867.6,162.44,5149.4,3236.7,40977.0
Ghana,382.2,16.05,508.9,343.6,14.43,457.5,359.2,3483.0
Greece,2440.5,102.5,3249.3,2134.1,89.63,2841.3,1960.7,30410.0
Grenada,,,,,,,,9432.0
Guatemala,712.8,29.94,949.0,767.6,32.24,1022.0,887.8,5712.0
Guinea,,,,,,,,1282.0
Guinea-Bissau,,,,,,,,677.0
Guyana,,,,,,,,13690.0
Haiti,229.0,9.62,304.9,393.2,16.51,523.5,377.5,1031.0
Honduras,600.9,25.24,800.1,662.4,27.82,882.0,573.3,5087.0
Hong Kong,1951.3,81.96,2598.0,1938.4,81.41,2580.7,1566.4,29152.0
Hungary,2566.7,107.8,3417.3,2280.4,95.78,3036.1,2672.6,26660.0
Iceland,16882.5,709.06,22477.4,18177.3,763.44,24201.2,15856.4,165871.0
India,565.6,23.76,753.1,606.1,25.45,806.9,712.2,7143.0
Indonesia,866.5,36.39,1153.7,850.2,35.71,1132.0,935.8,9854.0
"Iran, Islamic Rep.",2816.8,118.3,3750.2,2960.4,124.34,3941.5,3266.1,38133.0
Iraq,1180.3,49.57,1571.4,1466.6,61.6,1952.6,1411.6,14392.0
Ireland,3217.7,135.14,4284.0,2840.2,119.29,3781.4,2598.4,37761.0
Israel,3005.4,126.23,4001.3,2970.8,124.77,3955.3,2496.3,33643.0
Italy,2814.6,118.21,3747.4,2579.5,108.34,3434.3,2411.7,28910.0
Jamaica,1130.2,47.47,1504.7,1083.6,45.51,1442.7,968.9,12236.0
Japan,3898.4,163.73,5190.3,3570.4,149.96,4753.7,3135.9,39985.0
Jordan,1191.4,50.04,1586.2,1071.0,44.98,1426.0,754.3,9183.0
Kazakhstan,4595.1,193.0,6118.0,4786.7,201.04,6373.0,3562.3,44702.0
Kenya,482.9,20.28,642.9,491.7,20.65,654.7,539.8,1953.0
Kiribati,,,,,,,,2447.0
North Korea,761.2,31.97,1013.4,580.6,24.38,773.0,640.5,3834.0
South Korea,5059.9,212.52,6736.8,5253.5,220.65,6994.5,5413.4,68126.0
Kosovo[7],1372.1,57.63,1826.9,1296.7,54.46,1726.4,,16777.0
Kuwait,12204.3,512.58,16248.8,9757.4,409.81,12991.1,9129.6,103883.0
Kyrgyzstan,535.6,22.5,713.2,690.4,29.0,919.2,645.0,9275.0
Laos,,,,,,,815.1,18847.0
Latvia,1971.3,82.79,2624.6,2159.2,90.69,2874.8,2254.0,21436.0
Lebanon,1526.1,64.1,2031.8,1337.2,56.16,1780.3,617.5,18832.0
Lesotho,,,,,,,,2133.0
Liberia,,,,,,,,1065.0
Libya,3013.0,126.54,4011.5,2711.3,113.87,3609.8,2539.2,28270.0
Lithuania,2107.0,88.49,2805.2,2356.6,98.98,3137.6,2428.0,23151.0
Luxembourg,8342.5,350.39,11107.3,7310.3,307.03,9732.9,4875.2,60334.0
Macao,,,,,,,,21400.0
Madagascar,,,,,,,308.7,508.0
Malawi,,,,,,,,465.0
Malaysia,2557.8,107.43,3405.5,3019.8,126.83,4020.6,2867.1,39587.0
Maldives,,,,,,,,17669.0
Mali,,,,,,,,1169.0
Malta,2012.9,84.54,2680.0,3019.8,126.83,4020.6,1456.2,74324.0
Mauritania,,,,,,,,3989.0
Mauritius,,,,,,,1095.7,19725.0
Mexico,1570.3,65.95,2090.8,1545.8,64.92,2058.0,1419.8,19009.0
Moldova,730.7,30.69,972.8,862.7,36.23,1148.5,1422.6,16006.0
Mongolia,1188.7,49.92,1582.6,1826.5,76.71,2431.7,1890.6,22408.0
Montenegro,1303.5,54.75,1735.5,1651.3,69.35,2198.5,1674.1,18940.0
Morocco,516.7,21.7,687.9,564.4,23.7,751.4,603.0,6855.0
Mozambique,436.0,18.31,580.5,407.4,17.11,542.4,358.6,2241.0
Myanmar,291.8,12.26,388.6,312.8,13.14,416.4,399.5,3065.0
Namibia,702.5,29.5,935.3,742.3,31.18,988.4,692.5,8748.0
Nauru,,,,,,,,21610.0
Nepal,341.1,14.32,454.1,369.7,15.53,492.2,520.0,1608.0
