vtePetroleum industry,vtePetroleum industry.1
Petroleum Primary energy,Petroleum Primary energy
Benchmarks,Argus Sour Bonny Light Brent Dubai Indian Basket Indonesian Isthmus-34 Light Japan Cocktail OPEC Reference Basket Tapis Urals West Texas Intermediate Western Canadian Select
Data,Natural gas Consumption Production Reserves Imports Exports Price Petroleum Consumption Production Reserves Imports Exports Posted oil price Price of gasoline and diesel
Natural gas,Consumption Production Reserves Imports Exports Price
Petroleum,Consumption Production Reserves Imports Exports Posted oil price Price of gasoline and diesel
Exploration,Core sampling Geophysics Integrated asset modelling Petroleum engineering Reservoir simulation Reservoir modeling Petroleum geology Petrophysics Reflection seismology Seismic inversion Seismic source
Drilling,Blowout Completion Squeeze job Differential sticking Directional drilling Geosteering Drill stem test Drilling engineering Drilling fluid invasion Lost circulation Measurement Shale oil extraction Ljungström method Tracers Underbalanced drilling Well logging
Production,Petroleum fiscal regime Concessions Production sharing agreements Artificial lift Gas lift Pumpjack Submersible pump (ESP) Downstream Enhanced oil recovery (EOR) Gas reinjection Steam injection Midstream Petroleum product Pipeline Refining Upstream Water injection Well intervention XT
History,1967 Oil Embargo 1973 oil crisis 1979 oil crisis 1980s oil glut 1990 oil price shock 2000s energy crisis 2010s oil glut 2020 Russia–Saudi Arabia oil price war Nationalization GECF OPEC Seven Sisters Standard Oil Canada France India Iraq Norway Saudi Arabia United States Venezuela
Provinces and fields,List of natural gas fields List of oil fields Caspian Sea East Midlands Oil Province East Texas Gulf of Mexico Niger Delta North Sea Permian Basin Persian Gulf Prudhoe Bay Russia Venezuela Western Canada Sedimentary Basin
Other topics,Abbreviations Classification sweet oil sour oil Oil shale gas Orphan wells Peak oil fossil fuel phase-out timing Petrocurrency Petrodollar recycling Petrofiction Shale band Shale gas Swing producer Unconventional (oil and gas) reservoir heavy crude oil sands oil shale tight oil
Companies and organisations,Major petroleum companiesSupermajors BP Chevron Eni ExxonMobil Shell TotalEnergies National oil companies Abu Dhabi National Oil Company ANCAP Bharat Petroleum China National Offshore Oil Corporation China National Petroleum Corporation Ecopetrol Equinor Gazprom Hindustan Petroleum Indian Oil Corporation Iraq National Oil Company KazMunayGas Kuwait Petroleum Corporation Lotos Naftogaz National Iranian Oil Company National Iranian South Oil Company NNPC Limited Oil & Gas Development Company Oil and Natural Gas Corporation Orlen PDVSA Pemex Pertamina Petrobangla Petrobras PetroChina Petronas Petrovietnam PTT Public Company Limited QatarEnergy Rosneft Saudi Aramco Sinopec SOCAR Sonangol Sonatrach TPAO YPF Energy trading Enron Glencore Gunvor Mercuria Naftiran Intertrade Trafigura Vitol Others APA Corporation Cenovus Energy Cepsa ConocoPhillips Devon Energy Eneos Holdings Galp Energia Hess Corporation Husky Energy Imperial Oil Lukoil Marathon Oil Marathon Petroleum Occidental Petroleum OMV Phillips 66 Port Harcourt Refining Company Reliance Industries Repsol Suncor Energy Sunoco Surgutneftegas TechnipFMC TNK-BP Tullow Oil Tüpraş Valero Energy Major services companies Amec Foster Wheeler Baker Hughes Cameron International CGG CH2M Chicago Bridge & Iron Company China Oilfield Services Enbridge GE Power Halliburton Nabors Industries Naftiran Intertrade NOV Inc. Petrofac Saipem Schlumberger Snam Subsea 7 TC Energy Transocean Valaris Limited Weatherford International John Wood Group Others American Petroleum Institute Canadian petroleum companies Intercontinental Exchange Futures International Association of Oil & Gas Producers International Energy Agency Society of Petroleum Engineers World Petroleum Council
Major petroleum companies,Supermajors BP Chevron Eni ExxonMobil Shell TotalEnergies National oil companies Abu Dhabi National Oil Company ANCAP Bharat Petroleum China National Offshore Oil Corporation China National Petroleum Corporation Ecopetrol Equinor Gazprom Hindustan Petroleum Indian Oil Corporation Iraq National Oil Company KazMunayGas Kuwait Petroleum Corporation Lotos Naftogaz National Iranian Oil Company National Iranian South Oil Company NNPC Limited Oil & Gas Development Company Oil and Natural Gas Corporation Orlen PDVSA Pemex Pertamina Petrobangla Petrobras PetroChina Petronas Petrovietnam PTT Public Company Limited QatarEnergy Rosneft Saudi Aramco Sinopec SOCAR Sonangol Sonatrach TPAO YPF Energy trading Enron Glencore Gunvor Mercuria Naftiran Intertrade Trafigura Vitol Others APA Corporation Cenovus Energy Cepsa ConocoPhillips Devon Energy Eneos Holdings Galp Energia Hess Corporation Husky Energy Imperial Oil Lukoil Marathon Oil Marathon Petroleum Occidental Petroleum OMV Phillips 66 Port Harcourt Refining Company Reliance Industries Repsol Suncor Energy Sunoco Surgutneftegas TechnipFMC TNK-BP Tullow Oil Tüpraş Valero Energy
Supermajors,BP Chevron Eni ExxonMobil Shell TotalEnergies
National oil companies,Abu Dhabi National Oil Company ANCAP Bharat Petroleum China National Offshore Oil Corporation China National Petroleum Corporation Ecopetrol Equinor Gazprom Hindustan Petroleum Indian Oil Corporation Iraq National Oil Company KazMunayGas Kuwait Petroleum Corporation Lotos Naftogaz National Iranian Oil Company National Iranian South Oil Company NNPC Limited Oil & Gas Development Company Oil and Natural Gas Corporation Orlen PDVSA Pemex Pertamina Petrobangla Petrobras PetroChina Petronas Petrovietnam PTT Public Company Limited QatarEnergy Rosneft Saudi Aramco Sinopec SOCAR Sonangol Sonatrach TPAO YPF
Energy trading,Enron Glencore Gunvor Mercuria Naftiran Intertrade Trafigura Vitol
Others,APA Corporation Cenovus Energy Cepsa ConocoPhillips Devon Energy Eneos Holdings Galp Energia Hess Corporation Husky Energy Imperial Oil Lukoil Marathon Oil Marathon Petroleum Occidental Petroleum OMV Phillips 66 Port Harcourt Refining Company Reliance Industries Repsol Suncor Energy Sunoco Surgutneftegas TechnipFMC TNK-BP Tullow Oil Tüpraş Valero Energy
Major services companies,Amec Foster Wheeler Baker Hughes Cameron International CGG CH2M Chicago Bridge & Iron Company China Oilfield Services Enbridge GE Power Halliburton Nabors Industries Naftiran Intertrade NOV Inc. Petrofac Saipem Schlumberger Snam Subsea 7 TC Energy Transocean Valaris Limited Weatherford International John Wood Group
Others,American Petroleum Institute Canadian petroleum companies Intercontinental Exchange Futures International Association of Oil & Gas Producers International Energy Agency Society of Petroleum Engineers World Petroleum Council
Category,Category
