Country,Energy intensity,Year
Turkmenistan,4.64,2022
Trinidad and Tobago,4.61,2022
Venezuela,4.34,2022
Bahrain,4.18,2021
Iceland,3.98,2022
Laos,2.66,2021
North Korea,2.46,2021
Mozambique,2.38,2021
Oman,2.35,2022
Russia,2.31,2022
Malta,2.29,2021
Canada,2.26,2022
Iran,2.21,2022
Syria,2.16,2021
Barbados,2.12,2021
Ukraine,2.09,2022
Lebanon,2.07,2021
Kyrgyzstan,2.04,2021
Kuwait,1.97,2022
Moldova,1.94,2021
Singapore,1.91,2022
South Africa,1.87,2022
Libya,1.82,2021
Jamaica,1.8,2022
Serbia,1.77,2021
Mongolia,1.76,2021
United Arab Emirates,1.74,2022
Saudi Arabia,1.73,2022
Zimbabwe,1.68,2021
Belarus,1.67,2022
Bulgaria,1.66,2022
South Korea,1.66,2022
Seychelles,1.66,2021
Bosnia and Herzegovina,1.66,2021
China,1.65,2022
Kazakhstan,1.63,2022
Paraguay,1.63,2021
Saint Lucia,1.61,2021
Tajikistan,1.6,2021
Estonia,1.58,2022
Malaysia,1.52,2022
Uzbekistan,1.5,2022
Vietnam,1.49,2022
Qatar,1.48,2022
Belgium,1.42,2022
Finland,1.42,2022
Armenia,1.4,2021
Panama,1.38,2021
Liberia,1.37,2021
United States,1.36,2022
Czech Republic,1.33,2022
World,1.3,2022
Ecuador,1.27,2022
Sweden,1.26,2022
Iraq,1.26,2022
Cuba,1.26,2022
Mauritania,1.26,2021
Australia,1.24,2022
Thailand,1.23,2022
Algeria,1.23,2022
Georgia,1.22,2021
Dominica,1.2,2021
Argentina,1.2,2022
Azerbaijan,1.2,2022
Slovakia,1.2,2022
Greece,1.19,2022
Cape Verde,1.18,2021
Brazil,1.17,2022
New Zealand,1.16,2022
Albania,1.15,2021
Bolivia,1.13,2021
Chile,1.12,2022
Mexico,1.12,2022
Norway,1.1,2022
Netherlands,1.09,2022
Honduras,1.09,2022
Cambodia,1.08,2021
Luxembourg,1.07,2022
North Macedonia,1.06,2022
Taiwan,1.06,2022
Jordan,1.06,2022
Namibia,1.05,2021
Japan,1.05,2022
Equatorial Guinea,1.04,2021
Benin,1.03,2021
Mauritius,1.03,2021
Lesotho,1.03,2021
Slovenia,1.02,2022
Zambia,1.01,2021
Peru,0.99,2022
Montenegro,0.99,2021
Spain,0.98,2022
India,0.96,2022
Poland,0.96,2022
Austria,0.95,2022
Uruguay,0.95,2021
Hungary,0.94,2022
Djibouti,0.94,2021
Nicaragua,0.93,2021
Cyprus,0.92,2022
Israel,0.92,2022
Tunisia,0.92,2021
Croatia,0.91,2022
São Tomé and Príncipe,0.9,2021
Portugal,0.89,2022
Palestine,0.89,2021
Germany,0.87,2022
Mali,0.87,2021
France,0.86,2022
Morocco,0.86,2022
Senegal,0.85,2021
Turkey,0.83,2022
Colombia,0.82,2022
Comoros,0.82,2021
Ghana,0.81,2022
Italy,0.8,2022
Indonesia,0.8,2022
Costa Rica,0.8,2021
United Kingdom,0.77,2022
Lithuania,0.77,2022
El Salvador,0.77,2021
Guinea,0.77,2022
Egypt,0.76,2022
Pakistan,0.76,2022
Latvia,0.75,2022
Eswatini,0.73,2021
Guatemala,0.72,2022
Togo,0.72,2021
Romania,0.71,2022
Puerto Rico,0.71,2021
Denmark,0.66,2022
Botswana,0.66,2021
Haiti,0.66,2022
Angola,0.63,2021
Hong Kong,0.61,2022
Dominican Republic,0.61,2021
Bangladesh,0.6,2022
Ireland,0.6,2022
Republic of the Congo,0.59,2021
Yemen,0.59,2021
Myanmar,0.58,2021
Ivory Coast,0.57,2021
Kenya,0.57,2022
Philippines,0.56,2022
Burkina Faso,0.55,2021
Gambia,0.55,2022
Gabon,0.54,2021
Cameroon,0.54,2021
Nepal,0.53,2021
Switzerland,0.52,2022
Nigeria,0.49,2021
Afghanistan,0.48,2021
Democratic Republic of the Congo,0.46,2021
Niger,0.46,2021
Guinea-Bissau,0.45,2022
Central African Republic,0.42,2021
Ethiopia,0.42,2021
Burundi,0.41,2021
Madagascar,0.4,2021
Sri Lanka,0.38,2021
Sierra Leone,0.37,2021
Uganda,0.36,2021
Malawi,0.35,2021
Tanzania,0.3,2021
Chad,0.26,2021
Rwanda,0.24,2021
