Country,Energy intensity
World,212.9
Albania *,158.2
Algeria *,176.8
Angola *,322.6
Argentina *,138.6
Armenia *,191.1
Australia *,208.3
Austria *,139.1
Azerbaijan *,437.2
Bahrain *,559.4
Bangladesh *,97.9
Belarus *,458.9
Belgium *,205.5
Benin *,301.3
Bolivia *,205.8
Bosnia and Herzegovina *,189.0
Botswana *,120.3
Brazil *,146.1
Bulgaria *,354.7
Cameroon *,222.8
Canada *,293.2
Ivory Coast *,265.3
Chile *,166.7
China *,231.3
Colombia *,98.1
Congo,30.5
DR Congo *,4746.3
Costa Rica,101.2
Croatia *,179.3
Cyprus *,159.6
Czech Republic *,254.4
Denmark *,133.2
Dominican Republic,136.2
Ecuador,221.4
Egypt *,201.4
El Salvador *,146.4
Eritrea *,215.0
Estonia *,295.9
Ethiopia *,389.9
Finland *,269.1
France *,170.5
Gabon *,204.5
Georgia *,244.3
Germany *,163.9
Ghana *,198.7
Greece *,137.8
Guatemala,153.3
Haiti *,159.4
Honduras *,202.3
Hong Kong *,91.4
Hungary *,178.4
Iceland *,401.4
India *,189.5
Indonesia *,239.3
Iran *,316.1
Ireland *,107.6
Israel *,141.3
Italy *,122.8
Jamaica,401.1
Japan *,154.0
Jordan *,253.1
Kazakhstan *,539.0
Kenya *,467.6
South Korea *,238.2
Kuwait *,481.0
Kyrgyzstan *,319.3
Latvia *,189.6
Lebanon *,327.0
Lithuania *,233.7
Luxembourg *,153.7
Malaysia *,257.5
Malta *,130.7
Mexico *,180.3
Moldova *,528.0
Mongolia *,334.5
Morocco *,96.4
Mozambique *,409.0
Namibia *,102.0
Nepal *,248.1
Netherlands *,172.4
New Zealand *,206.4
Nicaragua *,181.9
Nigeria *,776.6
North Macedonia *,222.1
Norway *,172.2
Oman *,361.6
Pakistan *,236.1
Panama,132.3
Paraguay *,155.9
Peru *,86.7
Philippines *,127.4
Poland *,212.2
Portugal *,138.2
Romania *,248.7
Russia *,519.0
Saudi Arabia *,448.0
Senegal *,155.1
Singapore *,213.8
Slovakia *,273.4
Slovenia *,190.2
South Africa *,265.1
Spain *,142.5
Sri Lanka *,120.8
Sudan *,266.7
Sweden *,216.9
Switzerland *,122.3
Syria *,294.3
Tajikistan *,486.3
Tanzania *,783.5
Thailand *,199.1
Togo,318.2
Trinidad and Tobago *,766.2
Tunisia *,123.3
Turkey *,167.1
Ukraine *,565.9
United Arab Emirates *,481.3
United Kingdom *,141.2
United States *,221.7
Uruguay *,94.5
Uzbekistan *,1253.0
Venezuela *,434.2
Vietnam *,227.3
Yemen *,335.9
Zambia *,729.4
Zimbabwe *,374.6
